nct_id,is_fda_regulated,is_section_801
NCT02976519,,
NCT02935530,,
NCT02854527,,
NCT02652416,,
NCT02596230,,
NCT02590484,,
NCT02580591,,
NCT02496286,,
NCT02273479,,
NCT02269202,,
NCT02269189,,
NCT02266524,,
NCT02265666,,
NCT02264054,,
NCT02262637,,
NCT02256735,,
NCT02254174,,
NCT02253797,,
NCT02251145,,
NCT02248155,,
NCT02236624,,
NCT02236169,,
NCT02223000,,
NCT02214953,,
NCT02212938,,
NCT02191787,,
NCT02183116,,
NCT02182063,,
NCT02181972,,
NCT02170701,,
NCT02123823,,
NCT02098239,,
NCT02057835,,
NCT02044380,,
NCT02044367,,
NCT01922349,,
NCT01841112,,
NCT01737996,,
NCT01698398,,
NCT01644734,,
NCT01614028,,
NCT01586429,,
NCT01580306,,
NCT01480648,,
NCT01458912,,
NCT01145053,,
NCT00946829,,
NCT00876460,,
NCT00863291,,
NCT00802568,,
NCT00694993,,
NCT00676819,,
NCT00675116,,
NCT00641589,,
NCT00615615,,
NCT00049868,,
NCT00605111,,
NCT00578825,,
NCT00577265,,
NCT00565006,,
NCT00564668,,
NCT00561873,,
NCT00555022,,
NCT00553657,,
NCT00553124,,
NCT00551226,,
NCT00543023,,
NCT00546299,,
NCT00544089,,
NCT00542789,,
NCT00539604,,
NCT00539877,,
NCT00046605,,
NCT00533689,,
NCT00532597,,
NCT00530647,,
NCT00526318,,
NCT00519701,,
NCT00516152,,
NCT00511745,,
NCT00509652,,
NCT00507234,,
NCT00505180,,
NCT00505479,,
NCT00502762,,
NCT00502489,,
NCT00501774,,
NCT00489723,,
NCT00482937,,
NCT00482690,,
NCT00476489,,
NCT00475813,,
NCT00472875,,
NCT00472602,,
NCT00472147,,
NCT00470743,,
NCT00469469,,
NCT00469300,,
NCT00468702,,
NCT00467623,,
NCT00014768,,
NCT00464958,,
NCT00457600,,
NCT00456534,,
NCT00454831,,
NCT00451659,,
NCT00448058,,
NCT00447460,,
NCT00445159,,
NCT00436423,,
NCT00433121,,
NCT00432263,,
NCT00428363,,
NCT00425958,,
NCT00424177,,
NCT00422760,,
NCT00420316,,
NCT00416897,,
NCT00415714,,
NCT00412854,,
NCT00410527,,
NCT00410449,,
NCT00409812,,
NCT00402311,,
NCT00395187,,
NCT00391898,,
NCT00389987,,
NCT00388830,,
NCT00386230,,
NCT00383318,,
NCT00382746,,
NCT00379158,,
NCT00377728,,
NCT00376454,,
NCT00370864,,
NCT00370422,,
NCT00370266,,
NCT00369772,,
NCT00367185,,
NCT00366236,,
NCT00365131,,
NCT00364364,,
NCT00361751,,
NCT00356044,,
NCT00355290,,
NCT00354809,,
NCT00353353,,
NCT00347620,,
NCT00342082,,
NCT00337402,,
NCT00337064,,
NCT00005363,,
NCT00331851,,
NCT00327366,,
NCT00325260,,
NCT00323843,,
NCT00320853,,
NCT00318539,,
NCT00318175,,
NCT00316238,,
NCT00314691,,
NCT00310089,,
NCT00309725,,
NCT00309569,,
NCT00308464,,
NCT00306969,,
NCT00304798,,
NCT00302913,,
NCT00302770,,
NCT00301223,,
NCT00299351,,
NCT00296101,,
NCT00295113,,
NCT00292513,,
NCT00291746,,
NCT00291421,,
NCT00291005,,
NCT00288925,,
NCT00286650,,
NCT00283517,,
NCT00281866,,
NCT00281762,,
NCT00280540,,
NCT00278057,,
NCT00276679,,
