nct_id,is_fda_regulated,is_section_801
NCT00273130,,
NCT00273117,,
NCT00272610,,
NCT00270530,,
NCT00270140,,
NCT00267800,,
NCT00268112,,
NCT00005206,,
NCT00264446,,
NCT00263302,,
NCT00262444,,
NCT00262262,,
NCT00261573,,
NCT00005126,,
NCT00257569,,
NCT00256399,,
NCT00255593,,
NCT00254527,,
NCT00251368,,
NCT00251069,,
NCT00248755,,
NCT00248586,,
NCT00247507,,
NCT00242827,,
NCT00241657,,
NCT00241150,,
NCT00239915,,
NCT00236756,,
NCT00236522,,
NCT00232102,,
NCT00004669,,
NCT00230893,,
NCT00230243,,
NCT00230204,,
NCT00227123,,
NCT00226226,,
NCT00226070,,
NCT00223548,,
NCT00223457,,
NCT00222638,,
NCT00215839,,
NCT00004409,,
NCT00212693,,
NCT00212069,,
NCT00211523,,
NCT00211094,,
NCT00211003,,
NCT00208715,,
NCT00207636,,
NCT00207220,,
NCT00206973,,
NCT00205283,,
NCT00204633,,
NCT00197366,,
NCT00196768,,
NCT00196248,,
NCT00195988,,
NCT00004363,,
NCT00193687,,
NCT00192998,,
NCT00191438,,
NCT00190034,,
NCT00188097,,
NCT00179543,,
NCT00179452,,
NCT00178308,,
NCT00172848,,
NCT00172198,,
NCT00171418,,
NCT00171041,,
NCT00168623,,
NCT00168272,,
NCT00167752,,
NCT00167050,,
NCT00162903,,
NCT00163956,,
NCT00161954,,
NCT00160901,,
NCT00160394,,
NCT00160082,,
NCT00159692,,
NCT00156949,,
NCT00154674,,
NCT00153049,,
NCT00153036,,
NCT00152971,,
NCT00150423,,
NCT00149292,,
NCT00148967,,
NCT00148785,,
NCT00004329,,
NCT00146744,,
NCT00145964,,
NCT00145925,,
NCT00143104,,
NCT00143091,,
NCT00137904,,
NCT00135642,,
NCT00037232,,
NCT00133328,,
NCT00133029,,
NCT00132236,,
NCT00001910,,
NCT00126412,,
NCT00125996,,
NCT00123942,,
NCT00123877,,
NCT00123591,,
NCT00122603,,
NCT00120913,,
NCT00120575,,
NCT00118703,,
NCT00118651,,
NCT00117078,,
NCT00116246,,
NCT00115427,,
NCT00115635,,
NCT00114842,,
NCT00108992,,
NCT00107094,,
NCT00108134,,
NCT00106912,,
NCT00105690,,
NCT00102375,,
NCT00102128,,
NCT00100594,,
NCT00093171,,
NCT00087464,,
NCT00085813,,
NCT00083642,,
NCT00081042,,
NCT00073112,,
NCT00077220,,
NCT00072735,,
NCT00067873,,
NCT00067288,,
NCT00066677,,
NCT00063791,,
NCT00063011,,
NCT00060853,,
NCT00059111,,
NCT00057161,,
NCT00056706,,
NCT00055146,,
NCT00053612,,
NCT00053443,,
NCT00052728,,
NCT00051961,,
NCT00047814,,
NCT00047489,,
NCT00046241,,
NCT00045266,,
NCT00044447,,
NCT00040209,,
NCT00037115,,
NCT00037089,,
NCT00034892,,
NCT00033722,,
NCT00033644,,
NCT00032383,,
NCT00028405,,
NCT00027287,,
NCT00026026,,
NCT00023348,,
NCT00023140,,
NCT00021424,,
NCT00020527,,
NCT00018603,,
NCT00017225,,
NCT00016159,,
NCT00015470,,
NCT00011908,,
NCT00010972,,
NCT00008229,,
NCT00007189,,
NCT00006499,,
NCT00006313,,
NCT00006165,,
NCT00005338,,
NCT00005318,,
NCT00005226,,
NCT00005193,,
NCT00005142,,
NCT00005135,,
NCT00005110,,
NCT00004998,,
NCT00004940,,
NCT00004890,,
NCT00004762,,
NCT00004645,,
NCT00004566,,
NCT00004323,,
NCT00004311,,
NCT00004157,,
NCT00004041,,
NCT00004028,,
NCT00003698,,
NCT00003574,,
NCT00003530,,
NCT00003479,,
NCT00003391,,
NCT00003261,,
NCT00003156,,
NCT00003044,,
NCT00002971,,
NCT00002616,,
NCT00002596,,
NCT00002367,,
NCT00002365,,
NCT00002334,,
NCT00002284,,
NCT00002237,,
NCT00002180,,
NCT00002172,,
NCT00002112,,
NCT00002099,,
NCT00002043,,
NCT00001986,,
NCT00001969,,
NCT00001948,,
NCT00001901,,
NCT00001602,,
NCT00001666,,
NCT00001567,,
NCT00001538,,
NCT00001338,,
NCT00001218,,
NCT00001210,,
NCT00001087,,
NCT00001084,,
NCT00001010,,
NCT00000978,,
NCT00000945,,
NCT00000893,,
NCT00000830,,
NCT00000796,,
NCT00000472,,
NCT00000435,,
NCT00000173,,
NCT02897349,,
NCT02667704,,
NCT02262793,,
NCT02261103,,
NCT02254109,,
NCT02244242,,
NCT02216240,,
NCT02215798,,
NCT02209727,,
NCT02199873,,
NCT02198326,,
NCT02194322,,
NCT02194296,,
NCT02170805,,
NCT02085772,,
NCT01972204,,
NCT01957644,,
NCT01828437,,
NCT01703858,,
NCT01674166,,
NCT01614496,,
NCT01511835,,
NCT01285752,,
NCT01083732,,
NCT01005693,,
NCT00987233,,
NCT00881530,,
NCT00828815,,
NCT00791791,,
NCT00736814,,
NCT00720447,,
NCT00711594,,
NCT00699764,,
NCT00629213,,
NCT00612820,,
NCT00590278,,
NCT00585026,,
NCT00561938,,
NCT00552708,,
NCT00550849,,
NCT00549289,,
NCT00543010,,
NCT00540397,,
NCT00536913,,
NCT00536159,,
NCT00533494,,
NCT00532688,,
NCT00532207,,
NCT00525538,,
NCT00520832,,
NCT00518830,,
NCT00519259,,
NCT00516997,,
NCT00515944,,
NCT00513201,,
NCT00511823,,
NCT00511550,,
NCT00508833,,
NCT00499642,,
NCT00490347,,
NCT00481234,,
NCT00479102,,
NCT00474721,,
NCT00469768,,
NCT00466635,,
NCT00464997,,
NCT00464529,,
NCT00463502,,
NCT00462696,,
NCT00457132,,
NCT00456456,,
NCT00456287,,
NCT00455988,,
NCT00453700,,
NCT00452764,,
NCT00452179,,
NCT00450177,,
NCT00449514,,
NCT00449046,,
NCT00447824,,
NCT00444444,,
NCT00443339,,
NCT00438503,,
NCT00432120,,
NCT00430092,,
NCT00429325,,
NCT00428636,,
NCT00428493,,
NCT00428350,,
NCT00426894,,
NCT00425139,,
NCT00424736,,
NCT00424281,,
NCT00423111,,
NCT00418366,,
NCT00406835,,
NCT00404664,,
NCT00402844,,
NCT00402402,,
NCT00402207,,
NCT00397670,,
NCT00396513,,
NCT00396045,,
NCT00389337,,
NCT00388284,,
NCT00385931,,
NCT00385749,,
NCT00383383,,
NCT00381446,,
NCT00378625,,
NCT00376428,,
NCT00375271,,
NCT00374439,,
NCT00373906,,
NCT00372450,,
NCT00368394,,
NCT00366119,,
NCT00366080,,
NCT00364585,,
NCT00363532,,
NCT00005402,,
NCT00360711,,
NCT00005401,,
NCT00359177,,
NCT00357617,,
NCT00357383,,
NCT00354393,,
NCT00351806,,
NCT00347841,,
NCT00347399,,
NCT00330213,,
NCT00345202,,
NCT00343122,,
NCT00339027,,
NCT00337415,,
NCT00336596,,
NCT00335426,,
NCT00334412,,
NCT00334217,,
NCT00332670,,
NCT00326352,,
NCT00329888,,
NCT00325923,,
NCT00324103,,
NCT00324831,,
NCT00322205,,
NCT00322660,,
NCT00319293,,
NCT00319137,,
NCT00316381,,
NCT00314704,,
NCT00314210,,
NCT00313755,,
NCT00311740,,
NCT00309270,,
NCT00306358,,
NCT00303394,,
NCT00300222,,
NCT00299572,,
NCT00298649,,
NCT00292994,,
NCT00289822,,
NCT00288483,,
NCT00286962,,
NCT00285506,,
NCT00005215,,
NCT00280722,,
NCT00279279,,
NCT00278083,,
NCT00272571,,
NCT00272441,,
NCT00261937,,
NCT00261586,,
NCT00261222,,
NCT00252031,,
NCT00004844,,
NCT00249145,,
NCT00249132,,
NCT00249041,,
NCT00246038,,
NCT00245141,,
NCT00239395,,
NCT00237991,,
NCT00237588,,
NCT00236834,,
NCT00234182,,
NCT00233818,,
NCT00232726,,
NCT00232648,,
NCT00229190,,
NCT00004665,,
NCT00228527,,
NCT00226486,,
NCT00222885,,
NCT00221559,,
NCT00221507,,
NCT00220233,,
NCT00216489,,
NCT00214747,,
NCT00213070,,
NCT00211445,,
NCT00211107,,
NCT00210405,,
NCT00207844,,
NCT00206895,,
NCT00203736,,
NCT00203684,,
NCT00200421,,
NCT00200122,,
NCT00196794,,
NCT00192764,,
NCT00190658,,
NCT00190346,,
NCT00187967,,
NCT00184184,,
NCT00181194,,
NCT00180934,,
NCT00178529,,
NCT00177437,,
NCT00173511,,
NCT00172978,,
NCT00172939,,
NCT00170729,,
NCT00169988,,
NCT00168597,,
NCT00167323,,
NCT00165854,,
NCT00164294,,
NCT00163475,,
NCT00162253,,
NCT00160927,,
NCT00159263,,
NCT00159185,,
NCT00158808,,
NCT00158548,,
NCT00158041,,
NCT00157625,,
NCT00155584,,
NCT00154518,,
NCT00153959,,
NCT00152100,,
NCT00153322,,
NCT00152594,,
NCT00150306,,
NCT00150007,,
NCT00149019,,
NCT00147043,,
NCT00146393,,
NCT00145782,,
NCT00145652,,
NCT00141206,,
NCT00140387,,
NCT00139100,,
NCT00138346,,
NCT00138112,,
NCT00136825,,
NCT00135629,,
NCT00134771,,
NCT00134693,,
NCT00131768,,
NCT00131417,,
NCT00130858,,
NCT00128375,,
NCT00128154,,
NCT00127478,,
NCT00127049,,
NCT00126932,,
NCT00124930,,
NCT00122811,,
NCT00121979,,
NCT00000566,,
NCT00121069,,
NCT00118768,,
NCT00118521,,
NCT00117364,,
NCT00115284,,
NCT00116285,,
NCT00115375,,
NCT00114686,,
NCT00114556,,
NCT00114049,,
NCT00113776,,
NCT00102024,,
NCT00099710,,
NCT00095225,,
NCT00094783,,
NCT00093665,,
NCT00093275,,
NCT00093158,,
NCT00091936,,
NCT00089531,,
NCT00087828,,
NCT00078130,,
NCT00077779,,
NCT00076726,,
NCT00073216,,
NCT00071682,,
NCT00070031,,
NCT00069849,,
NCT00069446,,
NCT00069056,,
NCT00067600,,
NCT00066274,,
NCT00061269,,
NCT00060697,,
NCT00058032,,
NCT00055965,,
NCT00053651,,
NCT00053937,,
NCT00053092,,
NCT00044421,,
NCT00044720,,
NCT00044265,,
NCT00043901,,
NCT00043836,,
NCT00043316,,
NCT00042354,,
NCT00042341,,
NCT00038974,,
NCT00040521,,
NCT00040131,,
NCT00037674,,
NCT00037544,,
NCT00036465,,
NCT00034970,,
NCT00034229,,
NCT00033527,,
NCT00030875,,
NCT00030472,,
NCT00029510,,
NCT00029029,,
NCT00028366,,
NCT00028327,,
NCT00022984,,
NCT00024336,,
NCT00021580,,
NCT00021034,,
NCT00020202,,
NCT00018187,,
NCT00017654,,
NCT00013312,,
NCT00013143,,
NCT00012636,,
NCT00011570,,
NCT00011297,,
NCT00010959,,
NCT00006375,,
NCT00006278,,
NCT00006180,,
NCT00006157,,
NCT00006071,,
NCT00006039,,
NCT00005995,,
NCT00005697,,
NCT00005679,,
NCT00005396,,
NCT00005283,,
NCT00005075,,
NCT00005038,,
NCT00004937,,
NCT00004901,,
NCT00004806,,
NCT00004791,,
NCT00004695,,
NCT00004490,,
NCT00004478,,
NCT00004397,,
NCT00004224,,
NCT00004042,,
NCT00003981,,
NCT00003747,,
NCT00003548,,
NCT00003273,,
NCT00003267,,
NCT00003153,,
NCT00003149,,
NCT00003062,,
NCT00001253,,
NCT00002997,,
NCT00002637,,
NCT00002627,,
NCT00002489,,
NCT00002417,,
NCT00002401,,
NCT00002154,,
NCT00002121,,
NCT00002047,,
NCT00002012,,
NCT00001730,,
NCT00001672,,
NCT00001531,,
NCT00001475,,
NCT00001440,,
NCT00001282,,
NCT00001155,,
NCT00001036,,
NCT00000933,,
NCT00000926,,
NCT00000869,,
NCT00000850,,
NCT00000682,,
NCT00000474,,
NCT00000418,,
NCT00000285,,
NCT00000225,,
NCT02999191,,
NCT02864914,,
NCT02764268,,
NCT02913326,,
NCT02652637,,
NCT02331277,,
NCT02259985,,
NCT02256826,,
NCT02253888,,
NCT02248129,,
NCT02245555,,
NCT02218671,,
NCT02194257,,
NCT02183441,,
NCT02183350,,
NCT02182531,,
NCT02177435,,
NCT02175238,,
NCT02173795,,
NCT02172547,,
NCT02170584,,
NCT01736761,,
NCT01649297,,
NCT01441596,,
NCT01412411,,
NCT01399619,,
NCT01397201,,
NCT01286571,,
NCT01230008,,
NCT01132079,,
NCT01082198,,
NCT01054924,,
NCT00909038,,
NCT00818753,,
NCT00810706,,
NCT00802178,,
NCT00727935,,
NCT00650871,,
NCT00627549,,
NCT00615212,,
NCT00608218,,
NCT00568737,,
NCT00565253,,
NCT00563355,,
NCT00562445,,
NCT00005489,,
NCT00557011,,
NCT00552942,,
NCT00551798,,
NCT00548600,,
NCT00540696,,
NCT00539422,,
NCT00534768,,
NCT00533988,,
NCT00532636,,
NCT00527852,,
NCT00526084,,
NCT00524251,,
NCT00517894,,
NCT00514943,,
NCT00513981,,
NCT00511524,,
NCT00510913,,
NCT00510003,,
NCT00509990,,
NCT00509483,,
NCT00506623,,
NCT00506194,,
NCT00504465,,
NCT00503087,,
NCT00501930,,
NCT00493168,,
NCT00491777,,
NCT00491569,,
NCT00490659,,
NCT00484406,,
NCT00484601,,
NCT00484068,,
NCT00482560,,
NCT00477399,,
NCT00475527,,
NCT00475449,,
NCT00471393,,
NCT00471055,,
NCT00470028,,
NCT00469820,,
NCT00469521,,
NCT00468416,,
NCT00467740,,
NCT00467168,,
NCT00462475,,
NCT00452686,,
NCT00450905,,
NCT00449423,,
NCT00450060,,
NCT00449774,,
NCT00448799,,
NCT00446771,,
NCT00445094,,
NCT00443508,,
NCT00443053,,
NCT00438542,,
NCT00432757,,
NCT00432380,,
NCT00428155,,
NCT00427479,,
NCT00421265,,
NCT00419068,,
NCT00407940,,
NCT00407316,,
NCT00404469,,
NCT00404196,,
NCT00404040,,
NCT00401206,,
NCT00398580,,
NCT00398385,,
NCT00396110,,
NCT00395655,,
NCT00394264,,
NCT00392067,,
NCT00388687,,
NCT00386672,,
NCT00385879,,
NCT00383955,,
NCT00383344,,
NCT00381758,,
NCT00378755,,
NCT00375323,,
NCT00374712,,
NCT00374400,,
NCT00371982,,
NCT00371800,,
NCT00370617,,
NCT00370201,,
NCT00367666,,
NCT00361998,,
NCT00352989,,
NCT00352833,,
NCT00350207,,
NCT00348244,,
NCT00348803,,
NCT00347893,,
NCT00343811,,
NCT00343304,,
NCT00341783,,
NCT00338078,,
NCT00334620,,
NCT00335569,,
NCT00333957,,
NCT00005361,,
NCT00329121,,
NCT00327938,,
NCT00327418,,
NCT00326391,,
NCT00322504,,
NCT00287014,,
NCT00319540,,
NCT00316901,,
NCT00316173,,
NCT00314587,,
NCT00315068,,
NCT00314613,,
NCT00312910,,
NCT00310518,,
NCT00308360,,
NCT00306982,,
NCT00306046,,
NCT00304993,,
NCT00303160,,
NCT00302588,,
NCT00300287,,
NCT00299754,,
NCT00298467,,
NCT00297713,,
NCT00296218,,
NCT00294996,,
NCT00294931,,
NCT00293839,,
NCT00293410,,
NCT00289939,,
NCT00286949,,
NCT00285922,,
NCT00283673,,
NCT00281294,,
NCT00279578,,
NCT00274430,,
NCT00274001,,
NCT00272623,,
NCT00271791,,
NCT00271765,,
NCT00268086,,
NCT00269594,,
NCT00266721,,
NCT00265408,,
NCT00264966,,
NCT00264212,,
NCT00263835,,
NCT00263159,,
NCT00261417,,
NCT00260390,,
NCT00259948,,
NCT00255905,,
NCT00250003,,
NCT00249730,,
NCT00248391,,
NCT00247442,,
NCT00247156,,
NCT00246298,,
NCT00244660,,
NCT00244608,,
NCT00244192,,
NCT00242983,,
NCT00242775,,
NCT00241436,,
NCT00241306,,
NCT00230724,,
NCT00239616,,
NCT00237406,,
NCT00233623,,
NCT00004670,,
NCT00232089,,
NCT00231530,,
NCT00230581,,
NCT00225875,,
NCT00225030,,
NCT00222339,,
NCT00221741,,
NCT00004440,,
NCT00216385,,
NCT00214318,,
NCT00213694,,
NCT00213395,,
NCT00212394,,
NCT00212017,,
NCT00004373,,
NCT00210756,,
NCT00208624,,
NCT00205023,,
NCT00203801,,
NCT00201292,,
NCT00199953,,
NCT00199576,,
NCT00199433,,
NCT00199030,,
NCT00198796,,
NCT00197431,,
NCT00196625,,
NCT00196040,,
NCT00195611,,
NCT00194558,,
NCT00191893,,
NCT00191802,,
NCT00190645,,
NCT00189969,,
NCT00188656,,
NCT00188552,,
NCT00186472,,
NCT00173303,,
NCT00184509,,
NCT00178035,,
NCT00182611,,
NCT00180362,,
NCT00178061,,
NCT00176332,,
NCT00172887,,
NCT00172341,,
NCT00171067,,
NCT00168584,,
NCT00166309,,
NCT00166153,,
NCT00165386,,
NCT00165230,,
NCT00164645,,
NCT00163774,,
NCT00161850,,
NCT00155909,,
NCT00155740,,
NCT00153491,,
NCT00152984,,
NCT00152919,,
NCT00151645,,
NCT00151138,,
NCT00150904,,
NCT00150618,,
NCT00147927,,
NCT00146926,,
NCT00145730,,
NCT00144677,,
NCT00143299,,
NCT00142129,,
NCT00140465,,
NCT00138281,,
NCT00137072,,
NCT00133289,,
NCT00129636,,
NCT00129610,,
NCT00129376,,
NCT00126997,,
NCT00126984,,
NCT00125125,,
NCT00124293,,
NCT00124098,,
NCT00123149,,
NCT00121797,,
NCT00121030,,
NCT00120055,,
NCT00119509,,
NCT00116623,,
NCT00114829,,
NCT00116233,,
NCT00115219,,
NCT00115167,,
NCT00113945,,
NCT00112658,,
NCT00110838,,
NCT00107731,,
NCT00107679,,
NCT00100126,,
NCT00099697,,
NCT00099463,,
NCT00099112,,
NCT00094835,,
NCT00091884,,
NCT00091104,,
NCT00087503,,
NCT00084591,,
NCT00083811,,
NCT00083239,,
NCT00081926,,
NCT00081796,,
NCT00081315,,
NCT00079911,,
NCT00079846,,
NCT00077896,,
NCT00076505,,
NCT00073502,,
NCT00070681,,
NCT00071474,,
NCT00071253,,
NCT00070967,,
NCT00068848,,
NCT00067509,,
NCT00065949,,
NCT00065923,,
NCT00064909,,
NCT00063297,,
NCT00062322,,
NCT00060515,,
NCT00059722,,
NCT00058903,,
NCT00057187,,
NCT00054730,,
NCT00054223,,
NCT00053742,,
NCT00050921,,
NCT00050609,,
NCT00047645,,
NCT00047528,,
NCT00047476,,
NCT00045786,,
NCT00044837,,
NCT00043095,,
NCT00042471,,
NCT00041964,,
NCT00041210,,
NCT00035763,,
NCT00033007,,
NCT00032877,,
NCT00030355,,
NCT00029627,,
NCT00027391,,
NCT00025896,,
NCT00025454,,
NCT00024466,,
NCT00022945,,
NCT00022035,,
NCT00019838,,
NCT00019019,,
NCT00018759,,
NCT00016393,,
NCT00016341,,
NCT00012909,,
NCT00009854,,
NCT00006369,,
NCT00006118,,
NCT00006107,,
NCT00006038,,
NCT00005965,,
NCT00005755,,
NCT00005783,,
NCT00005529,,
NCT00005494,,
NCT00005300,,
NCT00005293,,
NCT00005091,,
NCT00005057,,
NCT00005049,,
NCT00004892,,
NCT00004760,,
NCT00004446,,
NCT00004340,,
NCT00004059,,
NCT00003903,,
NCT00003859,,
NCT00003551,,
NCT00003454,,
NCT00003409,,
NCT00003368,,
NCT00003184,,
NCT00003175,,
NCT00003034,,
NCT00002655,,
NCT00002293,,
NCT00002382,,
NCT00002337,,
NCT00002329,,
NCT00002255,,
NCT00002192,,
NCT00002140,,
NCT00001993,,
NCT00001841,,
NCT00001717,,
NCT00001685,,
NCT00001658,,
NCT00001632,,
NCT00001448,,
NCT00001400,,
NCT00001347,,
NCT00001240,,
NCT00001180,,
NCT00001133,,
NCT00001128,,
NCT00001121,,
NCT00001101,,
NCT00001094,,
NCT00001079,,
NCT00001020,,
NCT00001007,,
NCT00000981,,
NCT00000883,,
NCT00000868,,
NCT00000718,,
NCT00000677,,
NCT00000606,,
NCT00000571,,
NCT00000570,,
NCT00000555,,
NCT00000499,,
NCT00000484,,
NCT00000104,,
NCT00000303,,
NCT00000241,,
NCT00000207,,
NCT00000147,,
NCT00000128,,
NCT00000115,,
NCT03003000,,
NCT02900508,,
NCT02632747,,
NCT02371096,,
NCT02285660,,
NCT02257008,,
NCT02231437,,
NCT02214940,,
NCT02214914,,
NCT02214888,,
NCT02193308,,
NCT02183688,,
NCT02183298,,
NCT02101398,,
NCT02037165,,
NCT01984606,,
NCT01951846,,
NCT01937390,,
NCT01897597,,
NCT01852682,,
NCT01721837,,
NCT01686269,,
NCT01671007,,
NCT01644318,,
NCT01581931,,
NCT01438814,,
NCT01426958,,
NCT01409343,,
NCT01335464,,
NCT01248364,,
NCT01244074,,
NCT01225822,,
NCT01134939,,
NCT00965224,,
NCT00962481,,
NCT00938756,,
NCT00917176,,
NCT00908817,,
NCT00905632,,
NCT00902369,,
NCT00854880,,
NCT00727129,,
NCT00689975,,
NCT00637949,,
NCT00615563,,
NCT00372034,,
NCT00049881,,
NCT00604396,,
NCT00287430,,
NCT00576277,,
NCT00568984,,
NCT00563017,,
NCT00550225,,
NCT00549575,,
NCT00549263,,
NCT00541944,,
NCT00541177,,
NCT00538694,,
NCT00537693,,
NCT00535561,,
NCT00532350,,
NCT00037323,,
NCT00518934,,
NCT00518765,,
NCT00513279,,
NCT00511407,,
NCT00506337,,
NCT00506181,,
NCT00501917,,
NCT00501254,,
NCT00497471,,
NCT00492258,,
NCT00490217,,
NCT00482235,,
NCT00479791,,
NCT00479596,,
NCT00476814,,
NCT00473603,,
NCT00468624,,
NCT00467909,,
NCT00463957,,
NCT00463944,,
NCT00460577,,
NCT00455611,,
NCT00452595,,
NCT00450944,,
NCT00449917,,
NCT00448435,,
NCT00448032,,
NCT00441818,,
NCT00006295,,
NCT00435318,,
NCT00435305,,
NCT00432718,,
NCT00431392,,
NCT00427466,,
NCT00422357,,
NCT00411372,,
NCT00409201,,
NCT00404001,,
NCT00403871,,
NCT00401128,,
NCT00400556,,
NCT00398476,,
NCT00395668,,
NCT00395122,,
NCT00392418,,
NCT00391664,,
NCT00382707,,
NCT00381394,,
NCT00381134,,
NCT00379691,,
NCT00377819,,
NCT00372957,,
NCT00369304,,
NCT00368589,,
NCT00364884,,
NCT00360984,,
NCT00356902,,
NCT00355602,,
NCT00348361,,
NCT00346684,,
NCT00345449,,
NCT00344136,,
NCT00343187,,
NCT00343005,,
NCT00339378,,
NCT00331747,,
NCT00329485,,
NCT00327769,,
NCT00326261,,
NCT00323986,,
NCT00324714,,
NCT00321477,,
NCT00315718,,
NCT00314899,,
NCT00314509,,
NCT00005326,,
NCT00311168,,
NCT00310947,,
NCT00310570,,
NCT00305409,,
NCT00300651,,
NCT00296803,,
NCT00293358,,
NCT00290381,,
NCT00284843,,
NCT00284401,,
NCT00283439,,
NCT00283179,,
NCT00277693,,
NCT00274547,,
NCT00274534,,
NCT00274495,,
NCT00274365,,
NCT00274131,,
NCT00270348,,
NCT00270166,,
NCT00269412,,
NCT00269165,,
NCT00269087,,
NCT00266487,,
NCT00265772,,
NCT00265304,,
NCT00264433,,
NCT00262015,,
NCT00261157,,
NCT00259142,,
NCT00258986,,
NCT00257179,,
NCT00253994,,
NCT00253162,,
NCT00250952,,
NCT00004739,,
NCT00243542,,
NCT00242736,,
NCT00242034,,
NCT00240825,,
NCT00241631,,
NCT00240695,,
NCT00240552,,
NCT00236626,,
NCT00236496,,
NCT00235768,,
NCT00232973,,
NCT00230659,,
NCT00230334,,
NCT00228852,,
NCT00227136,,
NCT00222365,,
NCT00221728,,
NCT00219622,,
NCT00219310,,
NCT00216892,,
NCT00216424,,
NCT00214617,,
NCT00212992,,
NCT00212043,,
NCT00209963,,
NCT00208637,,
NCT00206882,,
NCT00206219,,
NCT00205998,,
NCT00205972,,
NCT00204672,,
NCT00198016,,
NCT00197275,,
NCT00196703,,
NCT00196599,,
NCT00196586,,
NCT00195221,,
NCT00195104,,
NCT00193830,,
NCT00193557,,
NCT00192387,,
NCT00191737,,
NCT00191542,,
NCT00191464,,
NCT00191061,,
NCT00190359,,
NCT00190112,,
NCT00188968,,
NCT00188916,,
NCT00188565,,
NCT00188409,,
NCT00187330,,
NCT00185094,,
NCT00180492,,
NCT00179933,,
NCT00175565,,
NCT00173654,,
NCT00170482,,
NCT00169585,,
NCT00168155,,
NCT00167011,,
NCT00166595,,
NCT00162084,,
NCT00162058,,
NCT00160368,,
NCT00157872,,
NCT00157092,,
NCT00156143,,
NCT00155558,,
NCT00153140,,
NCT00153088,,
NCT00150150,,
NCT00149578,,
NCT00148148,,
NCT00147524,,
NCT00144248,,
NCT00144105,,
NCT00142077,,
NCT00125892,,
NCT00140088,,
NCT00138528,,
NCT00138047,,
NCT00137878,,
NCT00137059,,
NCT00134849,,
NCT00133653,,
NCT00126971,,
NCT00122551,,
NCT00122473,,
NCT00122096,,
NCT00120549,,
NCT00117247,,
